,Cst_Cnt,Cast_ID,Quarter,Date,Year,Month,Lat_Dec,Lon_Dec,Sta_ID,St_Line,Distance
29484,29485,20-0007NM-MX-184-1320-09331200,3,07/02/2000,2000,7,29.85,-123.588333,093.3 120.0,93.3,-373.47
29485,29486,20-0007NM-PR-184-1915-09001200,3,07/02/2000,2000,7,30.42,-124.00833300000001,090.0 120.0,90.0,-368.58
29486,29487,20-0007NM-MX-185-0142-09001100,3,07/03/2000,2000,7,30.751665999999997,-123.34,090.0 110.0,90.0,-328.72
29487,29488,20-0007NM-MX-185-0820-09001000,3,07/03/2000,2000,7,31.091665999999996,-122.67166599999999,090.0 100.0,90.0,-288.71
29488,29489,20-0007NM-PR-185-1730-09000900,3,07/03/2000,2000,7,31.415,-121.998333,090.0 090.0,90.0,-249.1
29489,29490,20-0007NM-MX-185-2243-09000800,3,07/03/2000,2000,7,31.755,-121.316666,090.0 080.0,90.0,-208.71
29490,29491,20-0007NM-MX-186-0533-09000700,3,07/04/2000,2000,7,32.081666,-120.64833300000001,090.0 070.0,90.0,-169.43
29491,29492,20-0007NM-MX-186-1337-09000600,3,07/04/2000,2000,7,32.415,-119.963333,090.0 060.0,90.0,-129.33
29492,29493,20-0007NM-PR-186-1848-09000530,3,07/04/2000,2000,7,32.655,-119.491666,090.0 053.0,90.0,-101.46
29493,29494,20-0007NM-MX-187-0020-09000450,3,07/05/2000,2000,7,32.916666,-118.93833300000001,090.0 045.0,90.0,-69.44
29494,29495,20-0007NM-MX-187-0541-09000370,3,07/05/2000,2000,7,33.185,-118.39,090.0 037.0,90.0,-37.51
29495,29496,20-0007NM-MX-187-0845-09000350,3,07/05/2000,2000,7,33.251666,-118.256666,090.0 035.0,90.0,-29.71
29496,29497,20-0007NM-MX-187-1300-09000300,3,07/05/2000,2000,7,33.421665999999995,-117.90666599999999,090.0 030.0,90.0,-9.42
29497,29498,20-0007NM-PR-187-1742-09000280,3,07/05/2000,2000,7,33.483333,-117.77,090.0 028.0,90.0,-1.64
29498,29499,20-0007NM-MX-187-2307-08670330,3,07/05/2000,2000,7,33.89,-118.493333,086.7 033.0,86.7,-3.71
29499,29500,20-0007NM-MX-188-0105-08670350,3,07/06/2000,2000,7,33.82,-118.63,086.7 035.0,86.7,-11.45
29500,29501,20-0007NM-MX-188-0454-08670400,3,07/06/2000,2000,7,33.648333,-118.978333,086.7 040.0,86.7,-31.59
29501,29502,20-0007NM-MX-188-0848-08670450,3,07/06/2000,2000,7,33.485,-119.336666,086.7 045.0,86.7,-52.01
