,Cst_Cnt,Cast_ID,Quarter,Date,Year,Month,Lat_Dec,Lon_Dec,Sta_ID
29398,29399,20-0001NM-PR-022-1803-07670800,1,01/22/2000,2000,1,34.058333,-122.943333,076.7 080.0
29399,29400,20-0001NM-MX-022-2313-07670700,1,01/22/2000,2000,1,34.388333,-122.25,076.7 070.0
29400,29401,20-0001NM-MX-023-0522-07670600,1,01/23/2000,2000,1,34.725,-121.548333,076.7 060.0
29401,29402,20-0001NM-MX-023-0935-07670550,1,01/23/2000,2000,1,34.888333,-121.2,076.7 055.0
29402,29403,20-0001NM-MX-023-1329-07670510,1,01/23/2000,2000,1,35.023333,-120.92,076.7 051.0
29403,29404,20-0001NM-MX-023-1540-07670490,1,01/23/2000,2000,1,35.09,-120.776666,076.7 049.0
29404,29405,20-0004JD-MX-098-2207-09330267,2,04/07/2000,2000,4,32.958333,-117.303333,093.3 026.7
29405,29406,20-0004JD-MX-099-0047-09330280,2,04/08/2000,2000,4,32.908333,-117.398333,093.3 028.0
29406,29407,20-0004JD-MX-099-0341-09330300,2,04/08/2000,2000,4,32.846666,-117.538333,093.3 030.0
29407,29408,20-0004JD-MX-099-0754-09330350,2,04/08/2000,2000,4,32.683333,-117.875,093.3 035.0
29408,29409,20-0004JD-MX-099-1221-09330400,2,04/08/2000,2000,4,32.516666,-118.203333,093.3 040.0
29409,29410,20-0004JD-PR-099-1831-09330450,2,04/08/2000,2000,4,32.351666,-118.546666,093.3 045.0
29410,29411,20-0004JD-MX-099-2152-09330500,2,04/08/2000,2000,4,32.185,-118.885,093.3 050.0
29411,29412,20-0004JD-MX-100-0208-09330550,2,04/09/2000,2000,4,32.013333,-119.235,093.3 055.0
29412,29413,20-0004JD-MX-100-0612-09330600,2,04/09/2000,2000,4,31.85,-119.568333,093.3 060.0
29413,29414,20-0004JD-MX-100-1229-09330700,2,04/09/2000,2000,4,31.518333,-120.246666,093.3 070.0
29414,29415,20-0004JD-PR-100-1912-09330800,2,04/09/2000,2000,4,31.186666,-120.92,093.3 080.0
29415,29416,20-0004JD-MX-101-0210-09330900,2,04/10/2000,2000,4,30.851666,-121.588333,093.3 090.0
29416,29417,20-0004JD-MX-101-0825-09331000,2,04/10/2000,2000,4,30.515,-122.255,093.3 100.0
29417,29418,20-0004JD-PR-101-1803-09331100,2,04/10/2000,2000,4,30.163333,-122.936666,093.3 110.0
29418,29419,20-0004JD-MX-101-2354-09331200,2,04/10/2000,2000,4,29.848333,-123.586666,093.3 120.0
29419,29420,20-0004JD-MX-102-0508-09001200,2,04/11/2000,2000,4,30.421666,-123.993333,090.0 120.0
29420,29421,20-0004JD-MX-102-1114-09001100,2,04/11/2000,2000,4,30.75,-123.331666,090.0 110.0
29421,29422,20-0004JD-PR-102-1829-09001000,2,04/11/2000,2000,4,31.086666,-122.665,090.0 100.0
29422,29423,20-0004JD-MX-103-0048-09000900,2,04/12/2000,2000,4,31.413333,-121.99,090.0 090.0
29423,29424,20-0004JD-MX-103-0659-09000800,2,04/12/2000,2000,4,31.756666,-121.315,090.0 080.0
29424,29425,20-0004JD-PR-103-1809-09000700,2,04/12/2000,2000,4,32.083333,-120.646666,090.0 070.0
29425,29426,20-0004JD-MX-103-2312-09000600,2,04/12/2000,2000,4,32.42,-119.963333,090.0 060.0
